item_id,main_category_id,sub_category_id,item_name,item_location,visiting_status,description
68,2,2,Gahindiro ,Nduga,Open for Visit,Inkomoko yi mvugo ngo izitagira kirengera ziracika
69,4,0,Imuhinja,Ruhango district,Open for Visit,Ahomwami Rujigiro Yimikiwe
70,2,2,Bwima AND Mataba,Kamonyi,Open for Visit,Aho umwami Bwimba ya vukiye
71,4,0,Ndahiro II Cyamatare where he dead,Gisenyi,Open for Visit,He was killed in the Gisenyi district fighting the king of the Bugara
72,3,6,Yezu Nyirimuhwe,Ruhango district,Open for Visit,Aho aba kirsit bajya gusengera
73,8,0,,,,
74,3,4,umushayayo dance,Rwandan dances,Open for Visit,Is a cultural dance often performed by women also popular as dance of women. It signifies elegant movement of animals.
75,3,4,ukurambagiza,Rwandan dances,Open for Visit,the dance of males and females referred to as courtship dances.
76,1,3,ibiseke,Rwandan museums and in various shops,Open for Visit,Are man made materials from Rwanda usually made by Women in Ibohero rooms
77,2,2,Canopy Work,Nyungwe National Park,Open for Visit,way not found in any of the national parks in Rwanda plus various Tea plantations located outside the park gates that surround thus adding to its spectacular arrays of bio – diversity.
78,2,2,King’s Palace Museum,Nyanza,Open for Visit,a visit to this museum is an interesting Tourist Attraction in Rwanda that will give you an insight into the deep culture and colonial & traditional rulership of kings of Rwanda
79,2,2,Buhanga Eco Park,Volcanoes National Park,Open for Visit,"Features unique attractions with history about the king’s in Rwanda such as the Small Ditch surrounded by lava stone and flowery thicket, where king’s helpers (Abiru) would pick herbs for the king to shower as part of Coronation"
80,2,2,Twin Lakes,Musanze District,Open for Visit,were formed as a result of a Volcanic Eruption with its glaciers layers blocking River Nyabarongo that was flowing towards Northern Rwanda.
81,2,2,Ibyi’wacu Cultural village,Musanze District,Open for Visit,offering a pure Rwandan cultural tour by ex-poachers who are now conservationists for Wildlife in this park
82,2,2,Belgian PeaceKeepers Memorial,Nyarugenge District,Open for Visit,"launched at Camp Kigali and opened on 7 April 2000, commemorating the ten Belgian United Nations blue beret soldiers who were killed guarding the Prime Minister, Agathe Uwilingiyamana (1953-94), Rwanda’s first and only female Prime Minister, at the beginning of the 1994 Genocide. "
83,2,2,Campaign Against Genocide Museum,"RN3, Kigali",Open for Visit,It is housed in the Parliamentary building of Rwanda and was inaugurated in 2017 by Paul Kagame with an aim to showcase the history of Rwanda during the campaign against the genocide against the Tutsi
84,1,3,Inyambo,Huye Museums,Open for Visit,"The elegant cows, derived from the wider Ankole breed, played an important role during ceremonies in honour of the king. They were decorated with rich jewellery, and were taught to listen to a trainer’s songs and follow his movements in a stately parade."
85,1,3,ikibindi,Rwandan museums and in various shops,Open for Visit,were used in various activities like in fetching water and to keep drinks like urwagwa
86,1,3,Baskets,Rwandan museums and in various shops,Open for Visit,baskets were made by both men and women and are used in carrying different materials and some are used for storage 
87,8,13,Ballet,Intore dance,Open for Visit,often performed by women
88,7,14,handbags,Articrafts,Open for Visit,were made to be used in carrying materials like telephones and other materials
89,5,11,imivugo,ceremonies,Open for Visit,are short sayings that are spoken by someone in need of expressing the views about someone 
90,5,9,ibisigo,poetry,Open for Visit,Are used to describe a person with their good behaviors
91,5,9,Imigani miremire,Rwandan poetry,Open for Visit,was story telling which are both ideas and sometimes true story that were like discussion in family ceremonies or during evening parents conversing with their childrens
92,7,16,bracelets,Rwandan museums and in various shops,Open for Visit, method of textile production in which two distinct sets of yarns or threads are interlaced at right angles to form a fabric or cloth
93,3,6,guterekera,Families,Closed for Visit,was kind of praying the gods in order to protect them like Ryangombe
94,5,11,imigani  migufi,Rwandan poetry,Open for Visit,Short stories which are ideas 
95,5,7,ibisakuzo,Rwandan poetry,Open for Visit,it is like a conversation where one asks you and respond according to what they ask you
96,5,9,Ibyivugo,Rwandan poetry,Closed for Visit,were story telling about your achievement from battle
97,7,15,imigongo,Fashion,Open for Visit,was the manufacturing of the same design materials to be used for decorations
98,4,0,The Congo-Nile Trail,Western province,Open for Visit,"he famous trail passages through Lake Kivu and provides hikers with opportunities to marvel at the country’s beautiful nature, green vegetation, hills, and clear lake waters while viewing nearby mountains."
99,5,11,Myths,poetry,--Select A Status--,were kind of ideas that are spoken and written used to be told in cermonies
100,2,2,Karongi beach,Western province,Open for Visit,"A popular beach retreat on the shores of Lake Kivu with majestic vistas, a tranquil atmosphere and easy access from Kigali"
101,2,1,Rwanda Art Museum, Kanombe,Open for Visit,"A part from permanent exhibition, The Rwanda Art Museum hosts temporally and moving arts exhibitions as well. Young visitors also enjoy the Art Kids’ Studio where they are given the opportunity to put their art skills to work."
102,4,0,Mashyiga rocks,kamonyi district,Open for Visit,there are rocks that shows the cultural of Rwanda and they are most used by prayers
103,5,7,Ibihozo,ceremonies,Open for Visit,"they are songs and proverbs to bride to show them their place where they come and show them they will be missed
"
104,2,2,Bisesero Genocide Memorial Centre,Western province,Open for Visit,"Commemorates the Rwandan genocide in 1994. 40,000 people died here"
105,1,3,ingoma,everywhere,Open for Visit,used as impuruza when king wants to call their citizens for the meeting and used in enjoyment while dancing
106,1,3,ikembe,Rwandan poetry,Open for Visit," is a type of musical instrument of the lamellaphone group, common amongst the people of Rwanda"
107,1,3,iningiri,Rwandan poetry,Open for Visit,"is a type of musical instrument of the lamellaphone group, common amongst the people of Rwanda"
108,1,3,umuduri,Rwandan poetry,Open for Visit,"t is a musical bow consisting of a string supported by a flexible wooden string bearer or bow that is 125–135 cm in length.[1] The string is traditionally made from plant fiber and animal gut. However, metal wire is becoming widespread."
109,1,3,inanga,Rwandan poetry,Open for Visit,"consists of a flat soundboard with slightly concave sides; on these sides is a surrounding, thick rim, where several notches are made to hold the strings in place. Inanga typically have between six to eight strings"
110,8,10,ikinamico,Rwandan poetry,Open for Visit,they are theaters that are playing different situations according to the lessons you want to give in the  conversations
111,3,6,Kubandwa,Rwandan poetry,Closed for Visit,gufata neza bazimu
112,3,6,Kuraguza,Rwandan poetry,Closed for Visit,kujya kubaza ibizaba abapfumu cg abavubyi
113,4,0,Ikirenge cya ruganzu,Rulindo District,Open for Visit,aho umwami ruganzu yakandagiye
114,7,17,ubutebo nubutaro,Rwandan poetry,Open for Visit,ni inikoresho bikoreshwa mu iterura ry imyaka
115,2,2,Rwanda African Art Museum,Nyanza,Open for Visit,"Rwanda African Art Museum in Southern, Rwanda from Art Gallery section."
116,5,9,uturingushyo namagorane,Rwandan poetry,Open for Visit,ni utugambo dusetsa bavugaga baganira ndetse banaganiriza abana
117,4,0,Mpushi Rocks Adventure,Kamonyi District ,--Select A Status--,"Mpushi Rock, located in Kamonyi District in the Southern Province, is a marvel to the eye and the soul. When you are on top, you have a breathtaking view of hills and valleys in this part of Rwanda."
118,4,0,Mount Bisoke,Western province,Open for Visit,"Situated in one of the country’s more scenic areas, Mount Bisoke, an active volcano on the border with The Democratic Republic of Congo, is a must-see for anyone looking to explore the beauty of Rwanda’s provincial areas."
119,7,14,ArtCraft,Kayonza,Open for Visit,Found new Kayonza Load
120,2,2,Amashyuza ,Rusizi,Open for Visit,"Ni agace ko Muri Rusizi  aho tuhasanga amazi Karemano adufasha kugarambura umubiri
"
121,2,0,"The National University of Rwanda,",Huye,Open for Visit,The history of formation of Education in Rwanda Like University
122,5,7,Yatahiye cyamaramba,Poetry,Open for Visit,"Uyu mugani wamamaye mu Rwanda baca bavuga ngo: ""Naka yatahiye cyamaramba"", bawuca iyo babonye umuntu wakoze umulimo neza, bakamuvutsa ishimwe ryawo akagenda ubusa;"
123,2,2,Gishwati Mukura National Park,Nyamasheke,Open for Visit,Combination of Biodvest
124,2,2,Kigali,Kigali city,Open for Visit,capital city of Rwanda
125,2,2,Maraba coffee,South Porvince,Open for Visit,"As we know Our country the Development depends on the Agriculture like Cash crops and Coffee is one Crops shows the culture of Rwanda
"
126,5,11,Famine that Attacked Rwandan ,Oral from Oldman,Open for Visit,in the history of Rwanda rwanda had been face with many Famine like Ruzagayura etc
127,5,9,Intambara Ya Shikaramu,Rwanda Cluture,Open for Visit,Mukinyarwanda uzumva umusaza avugako yarwanye intamabra ya Shikaramu
128,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
129,0,0,Ryamurari,,,
130,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
131,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
132,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
133,0,0,Ryamurari,,,
134,0,0,Mount Sabinyo,,,
135,0,0,Ryamurari,,,
136,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
137,0,0,Lake Burera,,,
138,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
139,0,0,Intore dancers,,,
140,0,0,Lake Burera,,,
141,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
142,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
143,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
144,0,0,Mount Sabinyo,,,
145,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
146,0,0,imigani migufi,,,
147,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
148,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
149,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
150,0,0,imigani migufi,,,
151,0,0,Mount Sabinyo,,,
152,0,0,Lake Burera,,,
153,0,0,Mount Sabinyo,,,
154,0,0,Mount Sabinyo,,,
155,0,0,Intore dancers,,,
156,0,0,imigani migufi,,,
157,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
158,0,0,Mount Sabinyo,,,
159,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
160,0,0,Ryamurari,,,
161,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
162,0,0,Ryamurari,,,
163,0,0,imigani migufi,,,
164,0,0,Lake Burera,,,
165,0,0,Ryamurari,,,
166,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
167,0,0,Lake Burera,,,
168,0,0,Mount Sabinyo,,,
169,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
170,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
171,0,0,Mount Sabinyo,,,
172,0,0,Mount Sabinyo,,,
173,0,0,Mount Sabinyo,,,
174,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
175,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
176,0,0,Lake Burera,,,
177,0,0,Lake Burera,,,
178,0,0,Lake Burera,,,
179,0,0,Ryamurari,,,
180,0,0,Mount Sabinyo,,,
181,0,0,Lake Burera,,,
182,0,0,Mount Sabinyo,,,
183,0,0,Lake Burera,,,
184,0,0,Mount Sabinyo,,,
185,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
186,0,0,Lake Burera,,,
187,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
188,0,0,Lake Burera,,,
189,0,0,Mount Sabinyo,,,
190,0,0,Mount Sabinyo,,,
191,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
192,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
193,0,0,Ryamurari,,,
194,0,0,Lake Burera,,,
195,0,0,Intore dancers,,,
196,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
197,0,0,Ryamurari,,,
198,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
199,0,0,Lake Burera,,,
200,0,0,Ryamurari,,,
201,0,0,Lake Burera,,,
202,0,0,Ryamurari,,,
203,0,0,Mount Sabinyo,,,
204,0,0,Lake Burera,,,
205,0,0,imigani migufi,,,
206,0,0,Ryamurari,,,
207,0,0,Intore dancers,,,
208,0,0,Lake Burera,,,
209,0,0,Intore dancers,,,
210,0,0,Ryamurari,,,
211,0,0,Intore dancers,,,
212,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
213,0,0,Lake Burera,,,
214,0,0,imigani migufi,,,
215,0,0,Mount Sabinyo,,,
216,0,0,Intore dancers,,,
217,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
218,0,0,Lake Burera,,,
219,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
220,0,0,Intore dancers,,,
221,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
222,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
223,0,0,Ryamurari,,,
224,0,0,imigani migufi,,,
225,0,0,Ryamurari,,,
226,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
227,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
228,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
229,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
230,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
231,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
232,0,0,Lake Burera,,,
233,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
234,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
235,0,0,Intore dancers,,,
236,0,0,Lake Burera,,,
237,0,0,Mount Sabinyo,,,
238,0,0,Mount Sabinyo,,,
239,0,0,Lake Burera,,,
240,0,0,Intore dancers,,,
241,0,0,Lake Burera,,,
242,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
243,0,0,Ryamurari,,,
244,0,0,Intore dancers,,,
245,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
246,0,0,Intore dancers,,,
247,0,0,Lake Burera,,,
248,0,0,Lake Burera,,,
249,0,0,Mount Sabinyo,,,
250,0,0,Lake Burera,,,
251,0,0,Mount Sabinyo,,,
252,0,0,Lake Burera,,,
253,0,0,Mount Sabinyo,,,
254,0,0,Mount Sabinyo,,,
255,0,0,Lake Burera,,,
256,0,0,imigani migufi,,,
257,0,0,Kwanyagacyecuru wo mubisi byahuye,,,
